date,usage
2015-01-01,5
2015-01-02,11
2015-01-03,3
2015-01-04,5
2015-01-05,16
2015-01-06,9
2015-01-07,12
2015-01-08,10
2015-01-09,10
2015-01-10,1
2015-01-11,6
2015-01-12,11
2015-01-13,20
2015-01-14,16
2015-01-15,17
2015-01-16,13
2015-01-17,3
2015-01-18,1
2015-01-19,6
2015-01-20,30
2015-01-21,22
2015-01-22,21
2015-01-23,19
2015-01-24,1
2015-01-25,18
2015-01-26,9
2015-01-27,2
2015-01-28,11
2015-01-29,12
2015-01-30,13
2015-01-31,5
2015-02-01,3
2015-02-02,0
2015-02-03,5
2015-02-04,13
2015-02-05,13
2015-02-06,10
2015-02-07,6
2015-02-08,5
2015-02-09,10
2015-02-10,17
2015-02-11,20
2015-02-12,14
2015-02-13,6
2015-02-14,3
2015-02-15,1
2015-02-16,2
2015-02-17,10
2015-02-18,12
2015-02-19,8
2015-02-20,4
2015-02-21,4
2015-02-22,5
2015-02-23,11
2015-02-24,12
2015-02-25,15
2015-02-26,11
2015-02-27,12
2015-02-28,1
2015-03-01,2
2015-03-02,12
2015-03-03,8
2015-03-04,7
2015-03-05,3
2015-03-06,5
2015-03-07,6
2015-03-08,10
2015-03-09,26
2015-03-10,16
2015-03-11,51
2015-03-12,23
2015-03-13,20
2015-03-14,4
2015-03-15,15
2015-03-16,31
2015-03-17,27
2015-03-18,21
2015-03-19,28
2015-03-20,6
2015-03-21,8
2015-03-22,13
2015-03-23,20
2015-03-24,33
2015-03-25,26
2015-03-26,22
2015-03-27,22
2015-03-28,1
2015-03-29,18
2015-03-30,26
2015-03-31,23
2015-04-01,44
2015-04-02,54
2015-04-03,26
2015-04-04,28
2015-04-05,28
2015-04-06,56
2015-04-07,23
2015-04-08,34
2015-04-09,29
2015-04-10,29
2015-04-11,40
2015-04-12,36
2015-04-13,65
2015-04-14,50
2015-04-15,73
2015-04-16,50
2015-04-17,48
2015-04-18,68
2015-04-19,59
2015-04-20,28
2015-04-21,54
2015-04-22,34
2015-04-23,29
2015-04-24,42
2015-04-25,48
2015-04-26,34
2015-04-27,57
2015-04-28,74
2015-04-29,88
2015-04-30,68
2015-05-01,55
2015-05-02,26
2015-05-03,84
2015-05-04,71
2015-05-05,66
2015-05-06,61
2015-05-07,78
2015-05-08,89
2015-05-09,26
2015-05-10,71
2015-05-11,74
2015-05-12,76
2015-05-13,71
2015-05-14,86
2015-05-15,26
2015-05-16,18
2015-05-17,143
2015-05-18,84
2015-05-19,66
2015-05-20,79
2015-05-21,45
2015-05-22,79
2015-05-23,77
2015-05-24,65
2015-05-25,122
2015-05-26,101
2015-05-27,81
2015-05-28,94
2015-05-29,106
2015-05-30,76
2015-05-31,20
2015-06-01,32
2015-06-02,16
2015-06-03,87
2015-06-04,57
2015-06-05,59
2015-06-06,54
2015-06-07,102
2015-06-08,111
2015-06-09,81
2015-06-10,94
2015-06-11,101
2015-06-12,89
2015-06-13,90
2015-06-14,113
2015-06-15,58
2015-06-16,55
2015-06-17,88
2015-06-18,71
2015-06-19,105
2015-06-20,54
2015-06-21,61
2015-06-22,110
2015-06-23,85
2015-06-24,109
2015-06-25,108
2015-06-26,108
2015-06-27,26
2015-06-28,39
2015-06-29,89
2015-06-30,95
2015-07-01,88
2015-07-02,81
2015-07-03,80
2015-07-04,50
2015-07-05,91
2015-07-06,78
2015-07-07,87
2015-07-08,74
2015-07-09,64
2015-07-10,88
2015-07-11,110
2015-07-12,60
2015-07-13,106
2015-07-14,78
2015-07-15,78
2015-07-16,115
2015-07-17,80
2015-07-18,85
2015-07-19,98
2015-07-20,88
2015-07-21,38
2015-07-22,99
2015-07-23,88
2015-07-24,92
2015-07-25,111
2015-07-26,70
2015-07-27,98
2015-07-28,99
2015-07-29,95
2015-07-30,63
2015-07-31,91
2015-08-01,81
2015-08-02,105
2015-08-03,98
2015-08-04,111
2015-08-05,102
2015-08-06,114
2015-08-07,114
2015-08-08,125
2015-08-09,111
2015-08-10,111
2015-08-11,58
2015-08-12,95
2015-08-13,108
2015-08-14,114
2015-08-15,122
2015-08-16,90
2015-08-17,106
2015-08-18,113
2015-08-19,110
2015-08-20,102
2015-08-21,108
2015-08-22,108
2015-08-23,108
2015-08-24,123
2015-08-25,107
2015-08-26,118
2015-08-27,115
2015-08-28,116
2015-08-29,91
2015-08-30,97
2015-08-31,109
2015-09-01,98
2015-09-02,104
2015-09-03,121
2015-09-04,104
2015-09-05,112
2015-09-06,115
2015-09-07,87
2015-09-08,90
2015-09-09,89
2015-09-10,45
2015-09-11,116
2015-09-12,61
2015-09-13,87
2015-09-14,120
2015-09-15,121
2015-09-16,114
2015-09-17,101
2015-09-18,113
2015-09-19,96
2015-09-20,92
2015-09-21,124
2015-09-22,94
2015-09-23,98
2015-09-24,88
2015-09-25,111
2015-09-26,96
2015-09-27,71
2015-09-28,117
2015-09-29,85
2015-09-30,85
2015-10-01,55
2015-10-02,9
2015-10-03,9
2015-10-04,62
2015-10-05,87
2015-10-06,94
2015-10-07,81
2015-10-08,114
2015-10-09,67
2015-10-10,70
2015-10-11,85
2015-10-12,92
2015-10-13,101
2015-10-14,80
2015-10-15,88
2015-10-16,77
2015-10-17,28
2015-10-18,28
2015-10-19,60
2015-10-20,88
2015-10-21,105
2015-10-22,96
2015-10-23,78
2015-10-24,35
